scenario,sex,age_start,age_end,time_start,time_end,month,draw_0,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
flatten_60inf,female,0,5,0,.082135521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flatten_60inf,female,0,5,.082135521,.16427104,1,.0043679653,.0043578856,.0044351881,.0068484149,.0036033639,.0037896591,.0042228834,.0050023417,.0029210702,.0026843869,.0054280418,.0045316415,.0065286448,.0047543207,.0059788683,.0058566909,.0042441627,.0041068606,.0024567381,.0055585951,.0058497363,.0044268877,.0055863615,.003774666,.0064607686,.0064049829,.0083327312,.003844043,.0041455226,.0073697846,.0053185574,.0056363828,.0048077074,.0042507825,.0062594865,.004343628,.0016659931,.0038234373,.0036851033,.0044877478,.0057357145,.0061935973,.007272949,.0044279001,.0060805581,.0036470706,.0055169566,.0061035082,.0058388002,.0031759578,.0034694576,.0056772581,.0071421331,.0053532314,.0039867451,.0052036773,.0044404254,.0065605086,.0025259047,.0055944193,.0037864679,.0047670007,.0041564619,.0047930875,.0038651971,.0051138098,.0042051552,.0033541685,.0037155924,.0060503921,.0073509575,.0055336952,.0046806526,.0032037213,.0047084861,.0029789589,.0046343491,.0054517514,.0054916013,.0086265262,.0035651957,.0065626437,.0032578704,.0024206389,.0040970352,.0045766584,.0034524766,.0051368587,.0046813311,.0055900328,.004378065,.0047116908,.0043742466,.0042089974,.005640869,.0020253458,.00499252,.0047772201,.0044549564,.0024894269,.0042357352
flatten_60inf,female,0,5,.16427104,.24640657,2,.0043679653,.0043578856,.0044351881,.0068484149,.0036033639,.0037896591,.0042228834,.0050023417,.0029210702,.0026843869,.0054280418,.0045316415,.0065286448,.0047543207,.0059788683,.0058566909,.0042441627,.0041068606,.0024567381,.0055585951,.0058497363,.0044268877,.0055863615,.003774666,.0064607686,.0064049829,.0083327312,.003844043,.0041455226,.0073697846,.0053185574,.0056363828,.0048077074,.0042507825,.0062594865,.004343628,.0016659931,.0038234373,.0036851033,.0044877478,.0057357145,.0061935973,.007272949,.0044279001,.0060805581,.0036470706,.0055169566,.0061035082,.0058388002,.0031759578,.0034694576,.0056772581,.0071421331,.0053532314,.0039867451,.0052036773,.0044404254,.0065605086,.0025259047,.0055944193,.0037864679,.0047670007,.0041564619,.0047930875,.0038651971,.0051138098,.0042051552,.0033541685,.0037155924,.0060503921,.0073509575,.0055336952,.0046806526,.0032037213,.0047084861,.0029789589,.0046343491,.0054517514,.0054916013,.0086265262,.0035651957,.0065626437,.0032578704,.0024206389,.0040970352,.0045766584,.0034524766,.0051368587,.0046813311,.0055900328,.004378065,.0047116908,.0043742466,.0042089974,.005640869,.0020253458,.00499252,.0047772201,.0044549564,.0024894269,.0042357352
flatten_60inf,female,0,5,.24640657,.32854208,3,.58093929,.57959872,.58987999,.91083914,.47924742,.50402462,.56164348,.66531146,.38850233,.35702345,.72192949,.60270828,.8683098,.63232458,.79518944,.77893984,.56447357,.54621238,.3267462,.73929316,.7780149,.58877611,.74298608,.50203055,.8592822,.85186267,1.1082531,.51125771,.55135447,.98018134,.70736808,.74963892,.63942516,.56535405,.83251172,.57770246,.22157709,.50851721,.49011874,.59687042,.76284999,.82374847,.96730226,.58891064,.80871421,.48506039,.73375517,.81176662,.77656043,.42240238,.46143782,.75507534,.94990367,.71197981,.53023702,.69208902,.59057653,.87254769,.33594534,.74405771,.50360018,.63401109,.55280942,.63748056,.51407123,.68013668,.55928564,.44610441,.49417377,.8047021,.97767735,.73598146,.62252682,.42609492,.62622869,.39620155,.61636847,.72508293,.73038292,1.1473279,.47417101,.87283158,.43329677,.32194498,.5449056,.60869557,.45917937,.68320221,.62261701,.74347436,.58228266,.62665486,.58177477,.55979657,.7502355,.26937097,.66400516,.63537025,.59250915,.33109379,.56335276
flatten_60inf,female,0,5,.32854208,.41067761,4,.58093929,.57959872,.58987999,.91083914,.47924742,.50402462,.56164348,.66531146,.38850233,.35702345,.72192949,.60270828,.8683098,.63232458,.79518944,.77893984,.56447357,.54621238,.3267462,.73929316,.7780149,.58877611,.74298608,.50203055,.8592822,.85186267,1.1082531,.51125771,.55135447,.98018134,.70736808,.74963892,.63942516,.56535405,.83251172,.57770246,.22157709,.50851721,.49011874,.59687042,.76284999,.82374847,.96730226,.58891064,.80871421,.48506039,.73375517,.81176662,.77656043,.42240238,.46143782,.75507534,.94990367,.71197981,.53023702,.69208902,.59057653,.87254769,.33594534,.74405771,.50360018,.63401109,.55280942,.63748056,.51407123,.68013668,.55928564,.44610441,.49417377,.8047021,.97767735,.73598146,.62252682,.42609492,.62622869,.39620155,.61636847,.72508293,.73038292,1.1473279,.47417101,.87283158,.43329677,.32194498,.5449056,.60869557,.45917937,.68320221,.62261701,.74347436,.58228266,.62665486,.58177477,.55979657,.7502355,.26937097,.66400516,.63537025,.59250915,.33109379,.56335276
flatten_60inf,female,0,5,.41067761,.49281314,5,.58093929,.57959872,.58987999,.91083914,.47924742,.50402462,.56164348,.66531146,.38850233,.35702345,.72192949,.60270828,.8683098,.63232458,.79518944,.77893984,.56447357,.54621238,.3267462,.73929316,.7780149,.58877611,.74298608,.50203055,.8592822,.85186267,1.1082531,.51125771,.55135447,.98018134,.70736808,.74963892,.63942516,.56535405,.83251172,.57770246,.22157709,.50851721,.49011874,.59687042,.76284999,.82374847,.96730226,.58891064,.80871421,.48506039,.73375517,.81176662,.77656043,.42240238,.46143782,.75507534,.94990367,.71197981,.53023702,.69208902,.59057653,.87254769,.33594534,.74405771,.50360018,.63401109,.55280942,.63748056,.51407123,.68013668,.55928564,.44610441,.49417377,.8047021,.97767735,.73598146,.62252682,.42609492,.62622869,.39620155,.61636847,.72508293,.73038292,1.1473279,.47417101,.87283158,.43329677,.32194498,.5449056,.60869557,.45917937,.68320221,.62261701,.74347436,.58228266,.62665486,.58177477,.55979657,.7502355,.26937097,.66400516,.63537025,.59250915,.33109379,.56335276
flatten_60inf,female,0,5,.49281314,.57494867,6,.58093929,.57959872,.58987999,.91083914,.47924742,.50402462,.56164348,.66531146,.38850233,.35702345,.72192949,.60270828,.8683098,.63232458,.79518944,.77893984,.56447357,.54621238,.3267462,.73929316,.7780149,.58877611,.74298608,.50203055,.8592822,.85186267,1.1082531,.51125771,.55135447,.98018134,.70736808,.74963892,.63942516,.56535405,.83251172,.57770246,.22157709,.50851721,.49011874,.59687042,.76284999,.82374847,.96730226,.58891064,.80871421,.48506039,.73375517,.81176662,.77656043,.42240238,.46143782,.75507534,.94990367,.71197981,.53023702,.69208902,.59057653,.87254769,.33594534,.74405771,.50360018,.63401109,.55280942,.63748056,.51407123,.68013668,.55928564,.44610441,.49417377,.8047021,.97767735,.73598146,.62252682,.42609492,.62622869,.39620155,.61636847,.72508293,.73038292,1.1473279,.47417101,.87283158,.43329677,.32194498,.5449056,.60869557,.45917937,.68320221,.62261701,.74347436,.58228266,.62665486,.58177477,.55979657,.7502355,.26937097,.66400516,.63537025,.59250915,.33109379,.56335276
flatten_60inf,female,0,5,.57494867,.65708417,7,.58093929,.57959872,.58987999,.91083914,.47924742,.50402462,.56164348,.66531146,.38850233,.35702345,.72192949,.60270828,.8683098,.63232458,.79518944,.77893984,.56447357,.54621238,.3267462,.73929316,.7780149,.58877611,.74298608,.50203055,.8592822,.85186267,1.1082531,.51125771,.55135447,.98018134,.70736808,.74963892,.63942516,.56535405,.83251172,.57770246,.22157709,.50851721,.49011874,.59687042,.76284999,.82374847,.96730226,.58891064,.80871421,.48506039,.73375517,.81176662,.77656043,.42240238,.46143782,.75507534,.94990367,.71197981,.53023702,.69208902,.59057653,.87254769,.33594534,.74405771,.50360018,.63401109,.55280942,.63748056,.51407123,.68013668,.55928564,.44610441,.49417377,.8047021,.97767735,.73598146,.62252682,.42609492,.62622869,.39620155,.61636847,.72508293,.73038292,1.1473279,.47417101,.87283158,.43329677,.32194498,.5449056,.60869557,.45917937,.68320221,.62261701,.74347436,.58228266,.62665486,.58177477,.55979657,.7502355,.26937097,.66400516,.63537025,.59250915,.33109379,.56335276
flatten_60inf,female,0,5,.65708417,.73921973,8,.58093929,.57959872,.58987999,.91083914,.47924742,.50402462,.56164348,.66531146,.38850233,.35702345,.72192949,.60270828,.8683098,.63232458,.79518944,.77893984,.56447357,.54621238,.3267462,.73929316,.7780149,.58877611,.74298608,.50203055,.8592822,.85186267,1.1082531,.51125771,.55135447,.98018134,.70736808,.74963892,.63942516,.56535405,.83251172,.57770246,.22157709,.50851721,.49011874,.59687042,.76284999,.82374847,.96730226,.58891064,.80871421,.48506039,.73375517,.81176662,.77656043,.42240238,.46143782,.75507534,.94990367,.71197981,.53023702,.69208902,.59057653,.87254769,.33594534,.74405771,.50360018,.63401109,.55280942,.63748056,.51407123,.68013668,.55928564,.44610441,.49417377,.8047021,.97767735,.73598146,.62252682,.42609492,.62622869,.39620155,.61636847,.72508293,.73038292,1.1473279,.47417101,.87283158,.43329677,.32194498,.5449056,.60869557,.45917937,.68320221,.62261701,.74347436,.58228266,.62665486,.58177477,.55979657,.7502355,.26937097,.66400516,.63537025,.59250915,.33109379,.56335276
flatten_60inf,female,0,5,.73921973,.82135522,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
